Method,Size,Time,CPU Time Spent,Physical memory,MapOutputBytes,ReduceShuffleBytes
Pairs,1000,7200,3490,589156352,1569788,1855210
Stripes,1000,7040,3600,587276288,598261,636305
Pairs,2000,8128,4420,592752640,3136452,3706722
Stripes,2000,7359,4040,613371904,1197011,1273055
Pairs,3000,8511,4890,614481920,4695042,5548692
Stripes,3000,7609,4300,640204800,1793911,1907955
Pairs,4000,9319,5100,645570560,6261904,7400438
Stripes,4000,7759,4580,653647872,2390031,2542075
Pairs,5000,9746,5390,646242304,7819262,9240952
Stripes,5000,7936,4800,654868480,2988931,3178975
Pairs,6000,9838,5530,654991360,9381108,11086770
Stripes,6000,8322,5140,740016128,3587061,3815105
Pairs,7000,9923,5740,658731008,10933472,12921382
Stripes,7000,8742,5370,778928128,4179271,4445315
Pairs,8000,10256,5960,660172143,12494086,14765744
Stripes,8000,9027,5610,781049586,4776106,5080150
Pairs,9000,10468,6180,663896875,14054700,16610106
Stripes,9000,9376,5880,784098274,5372941,5714985
Pairs,10000,10766,6390,666091773,15615314,18454468
Stripes,10000,9542,5990,787002838,5969776,6349820
